model_number,samsung_source_url,source_type,identifier_found,evidence_summary,confusion_identifier_found,classification,notes
RS23CB7600**,https://www.samsung.com/us/home-appliances/refrigerators/water-filters/find-your-water-filter/ | https://www.samsung.com/ca/home-appliance-accessories/haf-qinexp-haf-qin-exp/,Filter Finder + Product Page,HAF-QIN + DA97-17376B,US Filter Finder + CA Fits in list with DA97-17376B cartridge code,none,PASS_CANDIDATE,Dual-source confirmation US+CA
RS25H5111**,https://www.samsung.com/us/home-appliances/refrigerators/water-filters/find-your-water-filter/,Filter Finder Tool,HAF-QIN,Listed under HAF-QIN Filter section on Samsung US Water Filter Finder,none,PASS_CANDIDATE,US Filter Finder wildcard entry
RS27T5200**,https://www.samsung.com/us/home-appliances/refrigerators/water-filters/find-your-water-filter/,Filter Finder Tool,HAF-QIN,Listed under HAF-QIN Filter section on Samsung US Water Filter Finder,none,PASS_CANDIDATE,US Filter Finder wildcard entry
RS27T5201**,https://www.samsung.com/us/home-appliances/refrigerators/water-filters/find-your-water-filter/,Filter Finder Tool,HAF-QIN,Listed under HAF-QIN Filter section on Samsung US Water Filter Finder,none,PASS_CANDIDATE,US Filter Finder wildcard entry
RS27T5202**,https://www.samsung.com/us/home-appliances/refrigerators/water-filters/find-your-water-filter/,Filter Finder Tool,HAF-QIN,Listed under HAF-QIN Filter section on Samsung US Water Filter Finder,none,PASS_CANDIDATE,US Filter Finder wildcard entry
RS27T5561**,https://www.samsung.com/us/home-appliances/refrigerators/water-filters/find-your-water-filter/,Filter Finder Tool,HAF-QIN,Listed under HAF-QIN Filter section on Samsung US Water Filter Finder,none,PASS_CANDIDATE,US Filter Finder wildcard entry
RS28A500A**,https://www.samsung.com/us/home-appliances/refrigerators/water-filters/find-your-water-filter/,Filter Finder Tool,HAF-QIN,Listed under HAF-QIN Filter section on Samsung US Water Filter Finder,none,PASS_CANDIDATE,US Filter Finder wildcard entry
RS28A5F61**,https://www.samsung.com/us/home-appliances/refrigerators/water-filters/find-your-water-filter/,Filter Finder Tool,HAF-QIN,Listed under HAF-QIN Filter section on Samsung US Water Filter Finder,none,PASS_CANDIDATE,US Filter Finder wildcard entry
RS28CB7600**,https://www.samsung.com/us/home-appliances/refrigerators/water-filters/find-your-water-filter/,Filter Finder Tool,HAF-QIN,Listed under HAF-QIN Filter section on Samsung US Water Filter Finder,none,PASS_CANDIDATE,US Filter Finder wildcard entry
RS70H27S**,https://www.samsung.com/us/home-appliances/refrigerators/water-filters/find-your-water-filter/,Filter Finder Tool,HAF-QIN,Listed under HAF-QIN Filter section - international/export model family,none,PASS_CANDIDATE,International model family
